217714, Keskkonnaministeeriumi Infotehnoloogiakeskus, 2020-04-15, "Krabu Grupp OÜ", 56700.00, "Riigihange ärinalüüsi teostamiseks “Objekti kontrollimise andmekogu süsteemile OKAS”"
221044, Elering AS, 2020-04-16, "", , "Projektihaldus tarkvara arendus- ja hooldusteenused II"
219879, Elering AS, 2020-04-17, "", , "Optilise taristu kaardistamine"
214847, Tervise ja Heaolu Infosüsteemide Keskus, 2020-04-18, "Industry62 OÜ", 1500000.00, "Ravimiameti infosüsteemi Samtrack arendus- ja hooldustööd"
217746, Rahandusministeeriumi Infotehnoloogiakeskus, 2020-04-14, "Cybernetica AS", 833333.33, "Eesti Tollitariifistiku (ETT+) infosüsteemi arendus- ja hooldusteenus"
221475, Tallinn Dolls OÜ, 2020-04-15, "Bright Bit OÜ", 24800.00, "Kangaste digitaliseerimise lahendus"
221773, Tallinna Linnakantselei, 2020-04-22, "EKTACO AKTSIASELTS", 311824.00, "Tallinna linna ühtse kassasüsteemi hooldus- ja arendustööde tellimine"
219123, Keskkonnaministeeriumi Infotehnoloogiakeskus, 2020-04-23, "Brockmann Consult GmbH", 38800.00, "Riikliku satelliidiandmete keskuse (ESTHub) tugiteenuste ostmine"
220448, aktsiaselts Eesti Raudtee, 2020-04-22, "AS Finestmedia", 250000.00, "Vedude Juhtimise Süsteemi ja Juhtimiskeskuse infosüsteemi arendus- ja hooldustööd"
220448, aktsiaselts Eesti Raudtee, 2020-04-22, "Tieto Estonia Aktsiaselts", 250000.00, "Vedude Juhtimise Süsteemi ja Juhtimiskeskuse infosüsteemi arendus- ja hooldustööd"
220448, aktsiaselts Eesti Raudtee, 2020-04-24, "AS CGI Eesti", 250000.00, "Vedude Juhtimise Süsteemi ja Juhtimiskeskuse infosüsteemi arendus- ja hooldustööd"
220448, aktsiaselts Eesti Raudtee, 2020-04-27, "Union FinTech OÜ", 250000.00, "Vedude Juhtimise Süsteemi ja Juhtimiskeskuse infosüsteemi arendus- ja hooldustööd"
221767, Tervise ja Heaolu Infosüsteemide Keskus, 2020-04-27, "Avatud Lahendused OÜ", 35.00, "Ravimiameti tegevuslubade registri arendus- ja hooldustööd"
220718, Riigi Infosüsteemi Amet, 2020-04-29, "Nortal AS", 352000.00, "Üleminek eIDAS-Node versioonile 2.x ja Riigi autentimisteenuse (TARA) platvormi vahetus"
221182, Tallinna Linnakantselei, 2020-04-30, "Telia Eesti AS", 1006237.24, "Tallinna DHS Postipoiss arendus-, hooldus- ja majutusteenus"
218566, Hariduse Infotehnoloogia Sihtasutus, 2020-04-30, "Osaühing Net Group", 750000.00, "Sisseastumise infosüsteemi arendustööd"
216623, Rahandusministeeriumi Infotehnoloogiakeskus, 2020-04-30, "OÜ Quretec", 1500000.00, "Riigi kinnisvararegistri (RKVR) arendus- ja hooldusteenus"
218945, Tervise ja Heaolu Infosüsteemide Keskus, 2020-04-09, "Trinidad Wiseman OÜ", 350000.00, "Atlassiani tooteperekonna tooted"
220455, Eesti Pank, 2020-04-30, "Santa Monica Networks AS", 117465.00, "Cisco võrguseadmete hooldus"
217195, Põllumajanduse Registrite ja Informatsiooni Amet, 2020-05-04, "AS Finestmedia", 5000000.00, "Java tehnoloogiatel põhinevate tarkvarade arendus- ja hooldusteenuste tellimine raamlepingu alusel"
217195, Põllumajanduse Registrite ja Informatsiooni Amet, 2020-05-04, "AS CGI Eesti", 5000000.00, "Java tehnoloogiatel põhinevate tarkvarade arendus- ja hooldusteenuste tellimine raamlepingu alusel"
217195, Põllumajanduse Registrite ja Informatsiooni Amet, 2020-05-04, "AKTSIASELTS HELMES", 5000000.00, "Java tehnoloogiatel põhinevate tarkvarade arendus- ja hooldusteenuste tellimine raamlepingu alusel"
216283, Eesti Perearstide Selts, 2020-05-04, "Iglu OÜ", 80000.00, "Kaasaegse peremeditsiini tarkvara tuumfunktsionaalsuse kaardistamine ja eskiiside arendamine"
221865, Keskkonnaministeeriumi Infotehnoloogiakeskus, 2020-04-28, "Oracle East Central Europe Limited Eesti filiaal", 91912.76, "Oracle andmebaasi tarkvara litsentside uuendamine ja tugiteenus"
222167, sihtasutus Tartu Ülikooli Kliinikum, 2020-05-06, "Osaühing Webware", 62465.00, "Dokumendihaldussüsteemi  WebDesktop hooldus"
222714, Ettevõtluse Arendamise Sihtasutus, 2020-04-30, "Bureau van Dijk", 26500.00, "Globaalne ettevõtete andmebaas Orbis"
217821, Siseministeeriumi infotehnoloogia- ja arenduskeskus, 2020-04-20, "Infobuild Estonia OÜ", 128800.00, "Päästeameti ja Häirekeskuse andmelao PÄHKAL arendamine"
222436, Sihtasutus Ida-Viru Keskhaigla, 2020-05-07, "OÜ Skriining", 56000.00, "Raamatupidamistarkvara Abacus hooldusteenus"
219804, Riigimetsa Majandamise Keskus, 2020-05-07, "SRINI OÜ", 900000.00, "Külastuskorralduse rakenduste arendamine"
218868, Registrite ja Infosüsteemide Keskus, 2020-05-08, "OÜ Quretec", 32982.00, "Nõuete ja arestide infosüsteemi ärianalüüs ja kasutajaliidese prototüübi loomine"
215461, Elering AS, 2020-05-07, "", , "Varahalduse valdkonna lahenduste arendus- ja hooldusteenuse ostmine"
220106, Riigi Tugiteenuste Keskus, 2020-05-08, "Nordic Geo Center Oy", 93092.00, "Laserskanneri süsteemi RIEGL VQ-1560i tugiteenuste ostmine"
221658, Tervise ja Heaolu Infosüsteemide Keskus, 2020-05-04, "Telia Eesti AS", 31831.80, "VMware toodete tugiteenuste uuendamine ja pikendamine"
219390, Keskkonnaministeeriumi Infotehnoloogiakeskus, 2020-05-11, "KPMG Baltics OÜ", 40500.00, "⁠“Piiratud asjaõiguse süsteem” ärianalüüs"
221388, Ettevõtluse Arendamise Sihtasutus, 2020-05-13, "AKTSIASELTS HELMES", 33332.50, "ETS hooldus ja arendus"
220249, Sihtasutus Eesti Meremuuseum, 2020-05-14, "OÜ Red Hat Group Design", 137999.00, "Näituse "Läänemeri maailmameres" erilahenduste loomine ja näituse teostamine"
